iter	Passed	Remaining
216	360	1300
217	361	1296
218	362	1294
219	364	1291
220	365	1288
221	368	1290
222	369	1287
223	370	1284
224	371	1280
225	372	1276
226	375	1279
227	376	1275
228	377	1270
229	378	1266
230	379	1262
231	379	1257
232	380	1253
233	382	1251
234	383	1248
235	384	1245
236	385	1242
237	386	1238
238	388	1235
239	388	1231
240	389	1227
241	390	1223
242	391	1220
243	392	1217
244	393	1214
245	394	1210
246	395	1206
247	397	1205
248	398	1201
249	399	1197
250	400	1193
251	400	1189
252	401	1185
253	402	1182
254	403	1178
255	404	1174
256	405	1171
257	405	1167
258	406	1164
259	408	1161
260	409	1159
261	410	1156
262	412	1155
263	413	1152
264	414	1149
265	416	1148
266	416	1144
267	417	1141
268	418	1137
269	419	1134
270	420	1130
271	421	1127
272	422	1124
273	423	1120
274	423	1117
275	424	1114
276	425	1111
277	427	1109
278	428	1107
279	429	1104
280	430	1102
281	431	1099
282	432	1096
283	433	1092
284	434	1089
285	435	1086
286	436	1083
287	436	1079
288	437	1076
289	438	1073
290	439	1070
291	440	1068
292	441	1065
293	442	1063
294	443	1061
295	444	1058
296	445	1055
297	446	1052
298	447	1049
299	448	1046
300	449	1043
301	449	1039
302	450	1036
303	451	1033
304	452	1030
305	453	1028
306	454	1025
307	456	1025
308	457	1023
309	458	1021
310	459	1018
311	460	1015
312	461	1012
313	462	1009
314	463	1006
315	463	1004
316	464	1001
317	465	998
318	466	995
319	467	992
320	468	989
321	468	987
322	471	987
323	472	985
324	473	983
325	474	980
326	475	978
327	476	975
328	477	973
329	478	971
330	479	968
331	479	965
332	480	962
333	481	960
334	482	957
335	483	955
336	486	956
337	487	955
338	488	953
339	489	950
340	491	949
341	492	947
342	493	945
343	495	945
344	497	943
345	498	941
346	500	941
347	501	939
348	502	937
349	503	935
350	504	933
351	505	931
352	507	929
353	508	927
354	509	925
355	510	922
356	511	920
357	512	918
358	513	917
359	515	916
360	516	914
361	517	912
362	518	910
363	519	908
364	520	905
365	522	905
366	524	905
367	526	903
368	529	905
369	530	903
370	531	901
371	532	899
372	533	897
373	535	896
374	536	894
375	537	892
376	538	889
377	539	887
378	540	885
379	541	883
380	542	881
381	544	881
382	545	879
383	546	877
384	548	876
385	550	875
386	551	873
387	552	871
388	553	869
389	554	867
390	555	865
391	556	863
392	559	864
393	561	862
394	562	862
395	563	860
396	564	857
397	566	857
398	567	855
399	569	853
400	570	851
401	571	849
402	573	850
403	575	848
404	576	847
405	577	845
406	580	845
407	581	843
408	582	841
409	583	839
410	584	837
411	585	835
412	586	833
413	589	834
414	590	833
415	591	830
416	593	829
417	594	827
418	595	826
419	596	823
420	597	822
421	598	820
422	599	818
423	600	816
424	603	816
425	604	814
426	605	812
427	606	810
428	609	810
429	609	808
430	611	806
431	612	804
432	612	802
433	613	800
434	615	798
435	617	798
436	619	797
437	620	795
438	621	793
439	623	793
440	624	791
441	625	789
442	626	788
443	627	786
444	628	784
445	629	782
446	631	781
447	633	780
448	634	778
449	636	777
450	637	776
451	638	773
452	639	772
453	640	770
454	641	768
455	642	766
456	643	764
457	644	762
458	646	761
459	647	760
460	648	758
461	649	756
462	650	754
463	651	752
464	652	750
465	653	748
466	654	746
467	656	746
468	657	744
469	659	743
470	662	743
471	664	742
472	665	741
473	666	739
474	667	737
475	668	736
476	670	734
477	671	733
